date,total_users,users_joined,users_left,total_messages,messages_created,messages_deleted,public_total_messages,public_messages_created,public_messages_deleted,private_total_messages,private_messages_created,private_messages_deleted
2026-02-25,4,4,0,0,0,0,0,0,0,0,0,0
2026-02-26,4,0,0,763,763,0,0,0,0,763,763,0
2026-02-27,4,0,0,1229,466,0,0,0,0,1229,466,0
2026-02-28,4,0,0,1427,198,0,0,0,0,1427,198,0
2026-03-01,4,0,0,2061,634,0,0,0,0,2061,634,0
2026-03-02,4,0,0,2642,581,0,0,0,0,2642,581,0
2026-03-03,4,0,0,2830,188,0,0,0,0,2830,188,0
2026-03-04,4,0,0,2932,102,0,0,0,0,2932,102,0
2026-03-05,4,0,0,3108,176,0,0,0,0,3108,176,0
2026-03-06,4,0,0,3667,559,0,0,0,0,3667,559,0
2026-03-07,4,0,0,4059,392,0,0,0,0,4059,392,0
2026-03-08,4,0,0,5024,965,0,0,0,0,5024,965,0
2026-03-09,4,0,0,5707,683,0,0,0,0,5707,683,0
2026-03-10,5,1,0,6449,742,0,46,46,0,6403,696,0
2026-03-11,5,0,0,8388,1939,0,46,0,0,8342,1939,0
2026-03-12,5,0,0,9083,695,0,70,24,0,9013,671,0
2026-03-13,6,1,0,10382,1299,0,70,0,0,10312,1299,0
2026-03-14,6,0,0,13070,2688,0,70,0,0,13000,2688,0
2026-03-15,8,2,0,15087,2017,0,73,3,0,15014,2014,0
2026-03-16,11,3,0,15873,786,0,74,1,0,15799,785,0
2026-03-17,14,3,0,17039,1166,0,78,4,0,16961,1162,0
2026-03-18,22,8,0,18193,1154,0,108,30,0,18085,1124,0
2026-03-19,30,8,0,19832,1639,0,159,51,0,19673,1588,0
2026-03-20,43,13,0,20951,1119,0,170,11,0,20781,1108,0
2026-03-21,73,30,0,23061,2110,0,313,143,0,22748,1967,0
2026-03-22,100,27,0,24783,1722,0,349,36,0,24434,1686,0
2026-03-23,123,23,0,27191,2408,0,381,32,0,26810,2376,0
2026-03-24,136,13,0,29409,2218,0,549,168,0,28860,2050,0
2026-03-25,152,16,0,30949,1540,0,690,141,0,30259,1399,0
2026-03-26,164,12,0,32757,1808,0,804,114,0,31953,1694,0
2026-03-27,173,9,0,33837,1080,0,846,42,0,32991,1038,0
2026-03-28,188,15,0,34604,767,0,878,32,0,33726,735,0
2026-03-29,201,13,0,36688,2084,0,929,51,0,35759,2033,0
2026-03-30,212,11,0,38641,1953,0,1238,309,0,37403,1644,0
2026-03-31,223,11,0,41456,2815,0,1584,346,0,39872,2469,0
2026-04-01,234,11,0,44102,2646,0,1976,392,0,42126,2254,0
2026-04-02,249,15,0,45504,1402,0,2204,228,0,43300,1174,0
2026-04-03,262,13,0,46733,1229,0,2763,559,0,43970,670,0
2026-04-04,270,8,0,48469,1736,0,3114,351,0,45355,1385,0
2026-04-05,289,19,0,50613,2144,0,3645,531,0,46968,1613,0
2026-04-06,302,13,0,52485,1872,0,4269,624,0,48216,1248,0
2026-04-07,323,21,0,54199,1714,0,4501,232,0,49698,1482,0
2026-04-08,330,7,0,56296,2097,0,4838,337,0,51458,1760,0
2026-04-09,358,28,0,58676,2380,0,5491,653,0,53185,1727,0
2026-04-10,371,13,0,60811,2135,0,5907,416,0,54904,1719,0
2026-04-11,398,27,0,62278,1467,0,6150,243,0,56128,1224,0
2026-04-12,412,14,0,64724,2446,0,6375,225,0,58349,2221,0
